id_ptn,ptn_nama,jalur,id_prodi,kode_prodi,prodi,jenjang,portofolio,kelompok_bidang,is_fakultas,is_new,daya_tampung_kini,tahun,daya_tampung,peminat,terima,peminat_lag1,peminat_lag2,daya_tampung_lag1,terima_lag1,jumlah_prodi_ptn,total_peminat_ptn,proporsi_peminat_lokal,jumlah_provinsi_asal
141,UNIVERSITAS ANDALAS,SNBP,141001,11411001,AGRIBISNIS,S1,Tidak Ada,pertanian,0,0,80,2021,36,655,36,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141001,11411001,AGRIBISNIS,S1,Tidak Ada,pertanian,0,0,80,2022,40,665,40,655,,36,36,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141001,11411001,AGRIBISNIS,S1,Tidak Ada,pertanian,0,0,80,2023,70,522,70,665,655,40,40,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141001,11411001,AGRIBISNIS,S1,Tidak Ada,pertanian,0,0,80,2024,80,420,80,522,665,70,70,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141001,11411001,AGRIBISNIS,S1,Tidak Ada,pertanian,0,0,80,2025,75,452,75,420,522,80,80,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141002,11411002,AGROTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,100,2021,45,326,45,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141002,11411002,AGROTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,100,2022,40,420,40,326,,45,45,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141002,11411002,AGROTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,100,2023,50,315,55,420,326,40,40,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141002,11411002,AGROTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,100,2024,50,259,50,315,420,50,55,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141002,11411002,AGROTEKNOLOGI,S1,Tidak Ada,pertanian,0,0,100,2025,70,418,70,259,315,50,50,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141003,11411003,KEDOKTERAN,S1,Tidak Ada,kesehatan,0,0,51,2021,75,1277,75,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141003,11411003,KEDOKTERAN,S1,Tidak Ada,kesehatan,0,0,51,2022,50,1343,50,1277,,75,75,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141003,11411003,KEDOKTERAN,S1,Tidak Ada,kesehatan,0,0,51,2023,50,1308,50,1343,1277,50,50,53,21653,,
141,UNIVERSITAS ANDALAS,SNBP,141003,11411003,KEDOKTERAN,S1,Tidak Ada,kesehatan,0,0,51,2024,50,1081,52,1308,1343,50,50,56,18791,,
141,UNIVERSITAS ANDALAS,SNBP,141003,11411003,KEDOKTERAN,S1,Tidak Ada,kesehatan,0,0,51,2025,51,1070,51,1081,1308,50,52,57,20594,,
141,UNIVERSITAS ANDALAS,SNBP,141004,11411004,KEPERAWATAN,S1,Tidak Ada,kesehatan,0,0,36,2021,54,711,54,,,,,48,21527,,
141,UNIVERSITAS ANDALAS,SNBP,141004,11411004,KEPERAWATAN,S1,Tidak Ada,kesehatan,0,0,36,2022,36,807,36,711,,54,54,48,21246,,
141,UNIVERSITAS ANDALAS,SNBP,141004,11411004,KEPERAWATAN,S1,Tidak Ada,kesehatan,0,0,36,2023,36,913,36,807,711,36,36,53,21653,,
