prodi,rumpun,peminat_awal,peminat_akhir,pct,slope
AGRIBISNIS,Pertanian & Peternakan,655,452,-30.99236641221374,-65.10000000001085
AGROTEKNOLOGI,Pertanian & Peternakan,326,418,28.22085889570552,2.3000000000004923
KEDOKTERAN,Kesehatan,1277,1070,-16.20986687548943,-67.60000000001739
KEPERAWATAN,Kesehatan,711,784,10.267229254571026,5.399999999994897
KESEHATAN MASYARAKAT,Kesehatan,823,905,9.963547995139733,2.10000000000158
KEDOKTERAN GIGI,Kesehatan,527,546,3.6053130929791273,-5.300000000004459
KIMIA,Sains Dasar,251,245,-2.3904382470119523,-1.4999999999969051
BIOLOGI,Sains Dasar,200,204,2.0,-9.299999999999708
MATEMATIKA,Sains Dasar,270,165,-38.88888888888889,-29.00000000000111
FISIKA,Sains Dasar,100,97,-3.0,-0.9999999999984143
TEKNIK KOMPUTER,Teknik & Komputasi,460,334,-27.391304347826086,-33.40000000000689
PETERNAKAN,Pertanian & Peternakan,409,341,-16.625916870415647,-20.100000000001387
TEKNIK MESIN,Teknik & Komputasi,435,352,-19.080459770114942,-24.499999999999716
TEKNIK SIPIL,Teknik & Komputasi,740,570,-22.972972972972975,-48.30000000000213
TEKNIK INDUSTRI,Teknik & Komputasi,641,751,17.160686427457097,23.400000000008177
TEKNIK LINGKUNGAN,Teknik & Komputasi,443,461,4.063205417607223,-0.3999999999961095
TEKNIK ELEKTRO,Teknik & Komputasi,471,350,-25.690021231422506,-28.600000000000186
FARMASI,Kesehatan,1426,1406,-1.402524544179523,-16.70000000000512
TEKNIK PERTANIAN DAN BIOSISTEM,Pertanian & Peternakan,205,227,10.731707317073171,1.9910815449199003e-12
TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Pertanian & Peternakan,256,404,57.8125,28.100000000010713
SISTEM INFORMASI,Teknik & Komputasi,667,570,-14.54272863568216,-22.20000000000192
PSIKOLOGI,Sosial-Humaniora,712,487,-31.60112359550562,-59.9000000000173
ILMU TANAH,Pertanian & Peternakan,159,163,2.515723270440252,-0.8000000000011497
AGROEKOTEKNOLOGI,Pertanian & Peternakan,181,148,-18.23204419889503,-7.900000000001114
PETERNAKAN ( KAMPUS II PAYAKUMBUH),Pertanian & Peternakan,52,69,32.69230769230769,0.6999999999990072
KEBIDANAN,Kesehatan,362,534,47.51381215469613,26.29999999999596
GIZI,Kesehatan,635,708,11.496062992125983,3.399999999998022
PROTEKSI TANAMAN,Pertanian & Peternakan,127,154,21.25984251968504,5.300000000002246
PENYULUHAN PERTANIAN,Pertanian & Peternakan,64,124,93.75,12.900000000000821
TEKNOLOGI INDUSTRI PERTANIAN,Pertanian & Peternakan,120,230,91.66666666666666,22.60000000000395
ILMU BIOMEDIS,Kesehatan,255,438,71.76470588235294,35.50000000000348
EKONOMI,Sosial-Humaniora,295,311,5.423728813559322,6.39999999999647
HUKUM,Sosial-Humaniora,1336,885,-33.75748502994012,-114.50000000002512
SEJARAH,Sosial-Humaniora,120,95,-20.833333333333336,-7.300000000001454
SOSIOLOGI,Sosial-Humaniora,370,171,-53.783783783783775,-53.500000000008356
ANTROPOLOGI SOSIAL,Sosial-Humaniora,262,171,-34.73282442748092,-21.900000000002645
MANAJEMEN,Sosial-Humaniora,1193,702,-41.15674769488684,-101.60000000001888
AKUNTANSI,Sosial-Humaniora,772,802,3.8860103626943006,11.40000000000278
ILMU POLITIK,Sosial-Humaniora,291,197,-32.302405498281786,-31.10000000000619
ADMINISTRASI PUBLIK,Sosial-Humaniora,550,452,-17.81818181818182,-33.9000000000073
SASTRA INDONESIA,Sosial-Humaniora,183,120,-34.42622950819672,-16.500000000001272
SASTRA INGGRIS,Sosial-Humaniora,358,281,-21.508379888268156,-21.39999999999929
SASTRA MINANGKABAU,Sosial-Humaniora,53,39,-26.41509433962264,-4.300000000000577
SASTRA JEPANG,Sosial-Humaniora,174,183,5.172413793103448,4.50000000000495
HUBUNGAN INTERNASIONAL,Sosial-Humaniora,517,300,-41.97292069632495,-53.50000000000651
ILMU KOMUNIKASI,Sosial-Humaniora,831,437,-47.41275571600481,-111.10000000002468
MANAJEMEN (KAMPUS 2 PAYAKUMBUH),Sosial-Humaniora,176,169,-3.977272727272727,-5.000000000000658
EKONOMI PEMBANGUNAN (KAMPUS PAYAKUMBUH),Sosial-Humaniora,86,84,-2.3255813953488373,-1.900000000001196
