prodi,rumpun,peminat_awal,peminat_akhir,pct,slope
AGRIBISNIS,Pertanian & Peternakan,770,668,-13.246753246753245,-42.000000000005194
AGROTEKNOLOGI,Pertanian & Peternakan,492,625,27.03252032520325,11.60000000000572
KEDOKTERAN,Kesehatan,2246,2074,-7.658058771148708,-93.60000000004652
KEPERAWATAN,Kesehatan,1115,1183,6.098654708520179,-2.5000000000099982
KESEHATAN MASYARAKAT,Kesehatan,1351,1445,6.9578090303478906,17.30000000000144
KEDOKTERAN GIGI,Kesehatan,869,1065,22.554660529344073,20.99999999999843
KIMIA,Sains Dasar,253,226,-10.67193675889328,-11.900000000000045
BIOLOGI,Sains Dasar,303,204,-32.67326732673268,-29.50000000000043
MATEMATIKA,Sains Dasar,297,126,-57.57575757575758,-46.50000000000501
FISIKA,Sains Dasar,95,80,-15.789473684210526,-8.900000000002052
TEKNIK KOMPUTER,Teknik & Komputasi,778,662,-14.910025706940875,-50.10000000001141
PETERNAKAN,Pertanian & Peternakan,673,522,-22.436849925705797,-43.60000000000399
TEKNIK MESIN,Teknik & Komputasi,637,884,38.775510204081634,59.20000000001598
TEKNIK SIPIL,Teknik & Komputasi,1141,1045,-8.413672217353199,-14.399999999997071
TEKNIK INDUSTRI,Teknik & Komputasi,878,1372,56.264236902050115,113.40000000002179
TEKNIK LINGKUNGAN,Teknik & Komputasi,699,899,28.612303290414882,41.400000000018785
TEKNIK ELEKTRO,Teknik & Komputasi,645,815,26.356589147286826,34.10000000001227
FARMASI,Kesehatan,2134,2024,-5.154639175257731,-48.200000000023195
TEKNIK PERTANIAN DAN BIOSISTEM,Pertanian & Peternakan,229,341,48.90829694323144,17.500000000003748
TEKNOLOGI PANGAN DAN HASIL PERTANIAN,Pertanian & Peternakan,309,463,49.83818770226537,28.400000000013648
SISTEM INFORMASI,Teknik & Komputasi,1079,989,-8.341056533827619,-18.400000000006987
PSIKOLOGI,Sosial-Humaniora,1282,888,-30.733229329173167,-101.70000000002825
ILMU TANAH,Pertanian & Peternakan,236,215,-8.898305084745763,-13.500000000004144
AGROEKOTEKNOLOGI,Pertanian & Peternakan,499,179,-64.12825651302605,-67.0999999999977
PETERNAKAN ( KAMPUS II PAYAKUMBUH),Pertanian & Peternakan,129,131,1.550387596899225,-3.8000000000001855
KEBIDANAN,Kesehatan,611,551,-9.819967266775777,-32.000000000012186
GIZI,Kesehatan,968,1027,6.095041322314049,-1.4000000000000425
PROTEKSI TANAMAN,Pertanian & Peternakan,161,175,8.695652173913043,-2.8000000000010674
PENYULUHAN PERTANIAN,Pertanian & Peternakan,143,132,-7.6923076923076925,-4.100000000001652
TEKNOLOGI INDUSTRI PERTANIAN,Pertanian & Peternakan,272,263,-3.308823529411765,-10.300000000000155
ILMU BIOMEDIS,Kesehatan,388,535,37.88659793814433,-4.000000000006595
EKONOMI,Sosial-Humaniora,479,489,2.0876826722338206,-3.8000000000053595
HUKUM,Sosial-Humaniora,2117,2248,6.188001889466226,23.600000000004624
SEJARAH,Sosial-Humaniora,172,129,-25.0,-15.200000000001504
SOSIOLOGI,Sosial-Humaniora,480,262,-45.416666666666664,-63.80000000000657
ANTROPOLOGI SOSIAL,Sosial-Humaniora,309,199,-35.59870550161812,-27.000000000005016
MANAJEMEN,Sosial-Humaniora,1693,1329,-21.500295333727113,-80.30000000002636
AKUNTANSI,Sosial-Humaniora,900,1168,29.777777777777775,80.70000000000846
ILMU POLITIK,Sosial-Humaniora,502,266,-47.01195219123506,-69.80000000000858
ADMINISTRASI PUBLIK,Sosial-Humaniora,749,866,15.620827770360481,24.10000000000642
SASTRA INDONESIA,Sosial-Humaniora,282,137,-51.41843971631206,-35.500000000002885
SASTRA INGGRIS,Sosial-Humaniora,504,326,-35.317460317460316,-48.700000000004714
SASTRA MINANGKABAU,Sosial-Humaniora,86,65,-24.418604651162788,-7.900000000001161
SASTRA JEPANG,Sosial-Humaniora,243,229,-5.761316872427984,-6.599999999998706
HUBUNGAN INTERNASIONAL,Sosial-Humaniora,722,453,-37.257617728531855,-57.3000000000072
ILMU KOMUNIKASI,Sosial-Humaniora,1225,963,-21.387755102040817,-90.40000000002757
MANAJEMEN (KAMPUS 2 PAYAKUMBUH),Sosial-Humaniora,272,225,-17.27941176470588,-15.100000000002202
EKONOMI PEMBANGUNAN (KAMPUS PAYAKUMBUH),Sosial-Humaniora,131,160,22.137404580152673,4.700000000000755
