id_prodi,prodi,jenjang,n_tahun,tahun_awal,tahun_akhir,peminat_awal,peminat_akhir,delta,pct,slope,rata_peminat,seri
141001,AGRIBISNIS,S1,5,2021,2025,655,452,-203,-31.0,-65.1,542.8,655 -> 665 -> 522 -> 420 -> 452
141002,AGROTEKNOLOGI,S1,5,2021,2025,326,418,92,28.2,2.3,347.6,326 -> 420 -> 315 -> 259 -> 418
141003,KEDOKTERAN,S1,5,2021,2025,1277,1070,-207,-16.2,-67.6,1215.8,1277 -> 1343 -> 1308 -> 1081 -> 1070
141004,KEPERAWATAN,S1,5,2021,2025,711,784,73,10.3,5.4,786.0,711 -> 807 -> 913 -> 715 -> 784
141005,KESEHATAN MASYARAKAT,S1,5,2021,2025,823,905,82,10.0,2.1,831.4,823 -> 891 -> 790 -> 748 -> 905
141006,KEDOKTERAN GIGI,S1,5,2021,2025,527,546,19,3.6,-5.3,557.4,527 -> 594 -> 617 -> 503 -> 546
141007,KIMIA,S1,5,2021,2025,251,245,-6,-2.4,-1.5,218.0,251 -> 205 -> 187 -> 202 -> 245
141008,BIOLOGI,S1,5,2021,2025,200,204,4,2.0,-9.3,174.8,200 -> 212 -> 147 -> 111 -> 204
141009,MATEMATIKA,S1,5,2021,2025,270,165,-105,-38.9,-29.0,183.6,270 -> 206 -> 151 -> 126 -> 165
141010,FISIKA,S1,5,2021,2025,100,97,-3,-3.0,-1.0,82.6,100 -> 77 -> 66 -> 73 -> 97
141011,TEKNIK KOMPUTER,S1,5,2021,2025,460,334,-126,-27.4,-33.4,409.2,460 -> 469 -> 396 -> 387 -> 334
141012,PETERNAKAN,S1,5,2021,2025,409,341,-68,-16.6,-20.1,355.4,409 -> 343 -> 406 -> 278 -> 341
141013,TEKNIK MESIN,S1,5,2021,2025,435,352,-83,-19.1,-24.5,352.2,435 -> 366 -> 321 -> 287 -> 352
141014,TEKNIK SIPIL,S1,5,2021,2025,740,570,-170,-23.0,-48.3,599.4,740 -> 630 -> 570 -> 487 -> 570
141015,TEKNIK INDUSTRI,S1,5,2021,2025,641,751,110,17.2,23.4,650.8,641 -> 572 -> 704 -> 586 -> 751
141016,TEKNIK LINGKUNGAN,S1,5,2021,2025,443,461,18,4.1,-0.4,411.0,443 -> 415 -> 361 -> 375 -> 461
141017,TEKNIK ELEKTRO,S1,5,2021,2025,471,350,-121,-25.7,-28.6,373.6,471 -> 355 -> 381 -> 311 -> 350
141018,FARMASI,S1,5,2021,2025,1426,1406,-20,-1.4,-16.7,1424.6,1426 -> 1425 -> 1568 -> 1298 -> 1406
141019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,5,2021,2025,205,227,22,10.7,0.0,192.0,205 -> 206 -> 160 -> 162 -> 227
141020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,5,2021,2025,256,404,148,57.8,28.1,263.8,256 -> 211 -> 252 -> 196 -> 404
141021,SISTEM INFORMASI,S1,5,2021,2025,667,570,-97,-14.5,-22.2,606.6,667 -> 633 -> 558 -> 605 -> 570
141022,PSIKOLOGI,S1,5,2021,2025,712,487,-225,-31.6,-59.9,665.6,712 -> 748 -> 782 -> 599 -> 487
141023,ILMU TANAH,S1,5,2021,2025,159,163,4,2.5,-0.8,168.0,159 -> 171 -> 192 -> 155 -> 163
141024,AGROEKOTEKNOLOGI,S1,5,2021,2025,181,148,-33,-18.2,-7.9,163.6,181 -> 142 -> 218 -> 129 -> 148
141025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,5,2021,2025,52,69,17,32.7,0.7,66.4,52 -> 78 -> 82 -> 51 -> 69
141026,KEBIDANAN,S1,5,2021,2025,362,534,172,47.5,26.3,502.2,362 -> 553 -> 590 -> 472 -> 534
141027,GIZI,S1,5,2021,2025,635,708,73,11.5,3.4,677.4,635 -> 692 -> 772 -> 580 -> 708
141028,PROTEKSI TANAMAN,S1,5,2021,2025,127,154,27,21.3,5.3,126.2,127 -> 123 -> 105 -> 122 -> 154
141029,PENYULUHAN PERTANIAN,S1,5,2021,2025,64,124,60,93.8,12.9,102.4,64 -> 101 -> 113 -> 110 -> 124
141030,TEKNOLOGI INDUSTRI PERTANIAN,S1,5,2021,2025,120,230,110,91.7,22.6,165.8,120 -> 152 -> 169 -> 158 -> 230
141031,ILMU BIOMEDIS,S1,5,2021,2025,255,438,183,71.8,35.5,353.6,255 -> 359 -> 368 -> 348 -> 438
141032,EKONOMI,S1,5,2021,2025,295,311,16,5.4,6.4,345.8,295 -> 332 -> 427 -> 364 -> 311
141033,HUKUM,S1,5,2021,2025,1336,885,-451,-33.8,-114.5,1172.4,1336 -> 1339 -> 1206 -> 1096 -> 885
141034,SEJARAH,S1,5,2021,2025,120,95,-25,-20.8,-7.3,109.0,120 -> 118 -> 117 -> 95 -> 95
141035,SOSIOLOGI,S1,5,2021,2025,370,171,-199,-53.8,-53.5,266.0,370 -> 335 -> 256 -> 198 -> 171
141036,ANTROPOLOGI SOSIAL,S1,5,2021,2025,262,171,-91,-34.7,-21.9,210.2,262 -> 233 -> 189 -> 196 -> 171
141037,MANAJEMEN,S1,5,2021,2025,1193,702,-491,-41.2,-101.6,996.2,1193 -> 996 -> 1128 -> 962 -> 702
141038,AKUNTANSI,S1,5,2021,2025,772,802,30,3.9,11.4,781.6,772 -> 664 -> 952 -> 718 -> 802
141039,ILMU POLITIK,S1,5,2021,2025,291,197,-94,-32.3,-31.1,247.2,291 -> 302 -> 267 -> 179 -> 197
141040,ADMINISTRASI PUBLIK,S1,5,2021,2025,550,452,-98,-17.8,-33.9,507.6,550 -> 584 -> 511 -> 441 -> 452
141041,SASTRA INDONESIA,S1,5,2021,2025,183,120,-63,-34.4,-16.5,138.8,183 -> 143 -> 144 -> 104 -> 120
141042,SASTRA INGGRIS,S1,5,2021,2025,358,281,-77,-21.5,-21.4,280.4,358 -> 285 -> 253 -> 225 -> 281
141043,SASTRA MINANGKABAU,S1,5,2021,2025,53,39,-14,-26.4,-4.3,44.2,53 -> 48 -> 48 -> 33 -> 39
141044,SASTRA JEPANG,S1,5,2021,2025,174,183,9,5.2,4.5,143.0,174 -> 102 -> 127 -> 129 -> 183
141045,HUBUNGAN INTERNASIONAL,S1,5,2021,2025,517,300,-217,-42.0,-53.5,392.0,517 -> 451 -> 342 -> 350 -> 300
141046,ILMU KOMUNIKASI,S1,5,2021,2025,831,437,-394,-47.4,-111.1,684.8,831 -> 882 -> 715 -> 559 -> 437
141047,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),S1,5,2021,2025,176,169,-7,-4.0,-5.0,167.6,176 -> 171 -> 187 -> 135 -> 169
141048,EKONOMI PEMBANGUNAN (KAMPUS PAYAKUMBUH),S1,5,2021,2025,86,84,-2,-2.3,-1.9,91.4,86 -> 97 -> 108 -> 82 -> 84
141049,AKUNTANSI,D3,3,2023,2025,48,124,76,158.3,38.0,84.7,48 -> 82 -> 124
141050,ADMINISTRASI PERKANTORAN,D3,3,2023,2025,110,159,49,44.5,24.5,130.0,110 -> 121 -> 159
141051,PERBANKAN DAN KEUANGAN,D3,3,2023,2025,81,130,49,60.5,24.5,107.0,81 -> 110 -> 130
141052,MANAJEMEN PEMASARAN,D3,3,2023,2025,43,76,33,76.7,16.5,57.3,43 -> 53 -> 76
141053,INFORMATIKA,S1,3,2023,2025,310,523,213,68.7,106.5,403.7,310 -> 378 -> 523
141054,ARSITEKTUR,S1,2,2024,2025,124,123,-1,-0.8,-1.0,123.5,124 -> 123
141055,EKONOMI ISLAM,S1,2,2024,2025,55,66,11,20.0,11.0,60.5,55 -> 66
141056,KEWIRAUSAHAAN,S1,2,2024,2025,68,103,35,51.5,35.0,85.5,68 -> 103
141057,STATISTIKA DAN SAINS DATA,S1,1,2025,2025,184,184,0,0.0,,184.0,184
