id_prodi,prodi,jenjang,n_tahun,tahun_awal,tahun_akhir,peminat_awal,peminat_akhir,delta,pct,slope,rata_peminat,seri
141001,AGRIBISNIS,S1,5,2021,2025,770,668,-102,-13.2,-42.0,687.2,770 -> 800 -> 614 -> 584 -> 668
141002,AGROTEKNOLOGI,S1,5,2021,2025,492,625,133,27.0,11.6,499.2,492 -> 540 -> 449 -> 390 -> 625
141003,KEDOKTERAN,S1,5,2021,2025,2246,2074,-172,-7.7,-93.6,2387.8,2246 -> 2756 -> 2699 -> 2164 -> 2074
141004,KEPERAWATAN,S1,5,2021,2025,1115,1183,68,6.1,-2.5,1211.8,1115 -> 1409 -> 1104 -> 1248 -> 1183
141005,KESEHATAN MASYARAKAT,S1,5,2021,2025,1351,1445,94,7.0,17.3,1400.6,1351 -> 1508 -> 1206 -> 1493 -> 1445
141006,KEDOKTERAN GIGI,S1,5,2021,2025,869,1065,196,22.6,21.0,978.8,869 -> 1111 -> 920 -> 929 -> 1065
141007,KIMIA,S1,5,2021,2025,253,226,-27,-10.7,-11.9,217.4,253 -> 256 -> 161 -> 191 -> 226
141008,BIOLOGI,S1,5,2021,2025,303,204,-99,-32.7,-29.5,210.6,303 -> 233 -> 177 -> 136 -> 204
141009,MATEMATIKA,S1,5,2021,2025,297,126,-171,-57.6,-46.5,186.8,297 -> 239 -> 156 -> 116 -> 126
141010,FISIKA,S1,5,2021,2025,95,80,-15,-15.8,-8.9,87.6,95 -> 116 -> 90 -> 57 -> 80
141011,TEKNIK KOMPUTER,S1,5,2021,2025,778,662,-116,-14.9,-50.1,727.8,778 -> 914 -> 640 -> 645 -> 662
141012,PETERNAKAN,S1,5,2021,2025,673,522,-151,-22.4,-43.6,565.0,673 -> 598 -> 568 -> 464 -> 522
141013,TEKNIK MESIN,S1,5,2021,2025,637,884,247,38.8,59.2,697.6,637 -> 634 -> 601 -> 732 -> 884
141014,TEKNIK SIPIL,S1,5,2021,2025,1141,1045,-96,-8.4,-14.4,1056.8,1141 -> 1046 -> 958 -> 1094 -> 1045
141015,TEKNIK INDUSTRI,S1,5,2021,2025,878,1372,494,56.3,113.4,1077.4,878 -> 967 -> 1057 -> 1113 -> 1372
141016,TEKNIK LINGKUNGAN,S1,5,2021,2025,699,899,200,28.6,41.4,679.4,699 -> 599 -> 587 -> 613 -> 899
141017,TEKNIK ELEKTRO,S1,5,2021,2025,645,815,170,26.4,34.1,658.2,645 -> 632 -> 566 -> 633 -> 815
141018,FARMASI,S1,5,2021,2025,2134,2024,-110,-5.2,-48.2,2194.2,2134 -> 2458 -> 2159 -> 2196 -> 2024
141019,TEKNIK PERTANIAN DAN BIOSISTEM,S1,5,2021,2025,229,341,112,48.9,17.5,264.4,229 -> 276 -> 249 -> 227 -> 341
141020,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,5,2021,2025,309,463,154,49.8,28.4,292.6,309 -> 233 -> 249 -> 209 -> 463
141021,SISTEM INFORMASI,S1,5,2021,2025,1079,989,-90,-8.3,-18.4,1075.0,1079 -> 1174 -> 963 -> 1170 -> 989
141022,PSIKOLOGI,S1,5,2021,2025,1282,888,-394,-30.7,-101.7,1190.8,1282 -> 1392 -> 1229 -> 1163 -> 888
141023,ILMU TANAH,S1,5,2021,2025,236,215,-21,-8.9,-13.5,234.2,236 -> 297 -> 219 -> 204 -> 215
141024,AGROEKOTEKNOLOGI,S1,5,2021,2025,499,179,-320,-64.1,-67.1,238.6,499 -> 182 -> 182 -> 151 -> 179
141025,PETERNAKAN ( KAMPUS II PAYAKUMBUH),S1,5,2021,2025,129,131,2,1.6,-3.8,121.4,129 -> 139 -> 111 -> 97 -> 131
141026,KEBIDANAN,S1,5,2021,2025,611,551,-60,-9.8,-32.0,625.6,611 -> 808 -> 550 -> 608 -> 551
141027,GIZI,S1,5,2021,2025,968,1027,59,6.1,-1.4,977.4,968 -> 993 -> 1038 -> 861 -> 1027
141028,PROTEKSI TANAMAN,S1,5,2021,2025,161,175,14,8.7,-2.8,166.6,161 -> 214 -> 125 -> 158 -> 175
141029,PENYULUHAN PERTANIAN,S1,5,2021,2025,143,132,-11,-7.7,-4.1,145.0,143 -> 164 -> 141 -> 145 -> 132
141030,TEKNOLOGI INDUSTRI PERTANIAN,S1,5,2021,2025,272,263,-9,-3.3,-10.3,245.4,272 -> 287 -> 203 -> 202 -> 263
141031,ILMU BIOMEDIS,S1,5,2021,2025,388,535,147,37.9,-4.0,469.4,388 -> 675 -> 408 -> 341 -> 535
141032,EKONOMI,S1,5,2021,2025,479,489,10,2.1,-3.8,519.2,479 -> 574 -> 538 -> 516 -> 489
141033,HUKUM,S1,5,2021,2025,2117,2248,131,6.2,23.6,2162.8,2117 -> 2201 -> 2073 -> 2175 -> 2248
141034,SEJARAH,S1,5,2021,2025,172,129,-43,-25.0,-15.2,137.6,172 -> 166 -> 121 -> 100 -> 129
141035,SOSIOLOGI,S1,5,2021,2025,480,262,-218,-45.4,-63.8,330.0,480 -> 430 -> 250 -> 228 -> 262
141036,ANTROPOLOGI SOSIAL,S1,5,2021,2025,309,199,-110,-35.6,-27.0,261.2,309 -> 296 -> 256 -> 246 -> 199
141037,MANAJEMEN,S1,5,2021,2025,1693,1329,-364,-21.5,-80.3,1645.8,1693 -> 1821 -> 1640 -> 1746 -> 1329
141038,AKUNTANSI,S1,5,2021,2025,900,1168,268,29.8,80.7,1086.2,900 -> 926 -> 1240 -> 1197 -> 1168
141039,ILMU POLITIK,S1,5,2021,2025,502,266,-236,-47.0,-69.8,350.6,502 -> 451 -> 309 -> 225 -> 266
141040,ADMINISTRASI PUBLIK,S1,5,2021,2025,749,866,117,15.6,24.1,777.4,749 -> 799 -> 667 -> 806 -> 866
141041,SASTRA INDONESIA,S1,5,2021,2025,282,137,-145,-51.4,-35.5,186.2,282 -> 204 -> 169 -> 139 -> 137
141042,SASTRA INGGRIS,S1,5,2021,2025,504,326,-178,-35.3,-48.7,384.0,504 -> 433 -> 355 -> 302 -> 326
141043,SASTRA MINANGKABAU,S1,5,2021,2025,86,65,-21,-24.4,-7.9,71.8,86 -> 98 -> 49 -> 61 -> 65
141044,SASTRA JEPANG,S1,5,2021,2025,243,229,-14,-5.8,-6.6,211.6,243 -> 210 -> 204 -> 172 -> 229
141045,HUBUNGAN INTERNASIONAL,S1,5,2021,2025,722,453,-269,-37.3,-57.3,582.0,722 -> 619 -> 532 -> 584 -> 453
141046,ILMU KOMUNIKASI,S1,5,2021,2025,1225,963,-262,-21.4,-90.4,1185.2,1225 -> 1478 -> 1162 -> 1098 -> 963
141047,MANAJEMEN (KAMPUS 2 PAYAKUMBUH),S1,5,2021,2025,272,225,-47,-17.3,-15.1,243.0,272 -> 277 -> 221 -> 220 -> 225
141048,EKONOMI PEMBANGUNAN (KAMPUS PAYAKUMBUH),S1,5,2021,2025,131,160,29,22.1,4.7,142.4,131 -> 149 -> 134 -> 138 -> 160
141049,AKUNTANSI,D3,3,2023,2025,104,1703,1599,1537.5,799.5,1113.7,104 -> 1534 -> 1703
141050,ADMINISTRASI PERKANTORAN,D3,3,2023,2025,166,2252,2086,1256.6,1043.0,1563.7,166 -> 2273 -> 2252
141051,PERBANKAN DAN KEUANGAN,D3,3,2023,2025,147,1801,1654,1125.2,827.0,1256.7,147 -> 1822 -> 1801
141052,MANAJEMEN PEMASARAN,D3,3,2023,2025,85,1214,1129,1328.2,564.5,829.0,85 -> 1188 -> 1214
141053,INFORMATIKA,S1,3,2023,2025,778,819,41,5.3,20.5,803.0,778 -> 812 -> 819
141054,ARSITEKTUR,S1,2,2024,2025,266,252,-14,-5.3,-14.0,259.0,266 -> 252
141055,EKONOMI ISLAM,S1,2,2024,2025,116,128,12,10.3,12.0,122.0,116 -> 128
141056,KEWIRAUSAHAAN,S1,2,2024,2025,225,290,65,28.9,65.0,257.5,225 -> 290
141057,STATISTIKA DAN SAINS DATA,S1,1,2025,2025,204,204,0,0.0,,204.0,204
